Country,Average Subscribers 2021,Average 2021 Revenue
Argentina ,5018853,112104396
Australia,6287472,183442318
Austria,928718,32347456
Belgium,1641335,57168030
Brazil,18040067,402954800
Bulgaria,171840,5985232
Canada,6689620,288882762
Chile,936829,20925623
Colombia,2704179,60402315
Costa Rica,294815,6585177
Croatia,115111,4009338
Cyprus,49269,1716045
Czech Republic,456158,15888069
Denmark,919526,32027267
Estonia,52533,1829751
Finland ,736470,25651391
France,8356302,291051767
Germany,10681493,372038648
Greece,517173,18013245
Hungary,338573,11792580
India,4938676,144090067
Indonesia,866320,25275620
Ireland,528859,18420283
Italy,3683229,128287649
Japan,5096000,148680120
Latvia,56779,1977638
Lithuania,138223,4814345
Luxembourg,83637,2913092
Malta,30132,1049508
Mexico,8263341,184575426
Netherlands,2753850,95917173
New Zealand,1287443,37562248
Norway,1965416,68455857
Poland,1735877,60460954
Portugal,693279,24147061
Romania,464650,16183843
Russia,185137,6448355
Singapore,455044,13276302
Slovak Republic,189685,6606775
Slovenia,92469,3220724
South Africa,349489,12172761
South Korea,4079776,119030925
Spain,4769228,166113197
Sweden,1715659,59756748
Switzerland,1430631,49829187
Turkey,3085614,107472576
UAE,426589,14858189
United Kingdom,12734203,443534960
United States,67474678,2913808616
Vietnam,322088,9397178
