latitude,longitude,local_government_area,statistical_area,crash_id,date_time_id,description_id,vehicles_id,casualties_id,year
-41.21102362,174.9019193,Hutt City,569100,NZ659851,2018----,963191,2c,0c,2018
-41.18076295,174.8356502,Wellington City,573521,NZ671268,2018----,975926,1T,0c,2018
-41.18076295,174.8356502,Wellington City,573522,NZ671268,2018----,975926,1T,0c,2018
-41.18076295,174.8356502,Wellington City,573525,NZ671268,2018----,975926,1T,0c,2018
-41.14590954,175.0367692,Upper Hutt City,564520,NZ661337,2018----,965676,1c1i,0c,2018
-39.03374371,174.1533782,New Plymouth District,550901,NZ671045,2018----,974703,1c1i,0c,2018
-39.94085257,174.9981651,Wanganui District,555800,NZ658583,2018----,961923,2c,0c,2018
-39.05630714,174.0789936,New Plymouth District,551800,NZ659146,2018----,962486,2c,0c,2018
-39.05630714,174.0789936,New Plymouth District,551800,NZ665863,2018----,970523,2c,0c,2018
-40.3509645,175.5847271,Palmerston North City,562710,NZ657312,2018----,960652,1c,0c,2018
-41.23261292,174.8086553,Wellington City,574001,NZ670654,2018----,974312,2c1i,0c,2018
-41.23261292,174.8086553,Wellington City,574100,NZ670654,2018----,974312,2c1i,0c,2018
-41.31994914,174.7778781,Wellington City,576200,NZ650434,2018----,952777,1c2i,1c1m,2018
-41.27552311,174.779788,Wellington City,572900,NZ661393,2018----,965732,1c1B,0c,2018
-41.26690443,174.7855228,Wellington City,572900,NZ655138,2018----,959478,1mc1i,1c1m,2018
-39.60866791,176.8735775,Hastings District,545721,NZ661218,2018----,965557,1c1i,0c,2018
-39.60866791,176.8735775,Hastings District,545721,NZ670326,2018----,973984,1f,0c,2018
-40.30755855,175.5558438,Manawatu District,561901,NZ654439,2018----,958781,1c1i,5c5m,2018
-40.65131422,175.2570294,Horowhenua District,564012,NZ665212,2018----,969872,2c,0c,2018
-41.11524519,175.0813054,Upper Hutt City,566800,NZ672453,2018----,977111,1c,0c,2018
-40.24160894,175.403886,Manawatu District,561422,NZ666587,2018----,971247,1c1f,0c,2018
-41.30400874,173.2543304,Nelson City,583700,NZ648739,2018----,955082,1c,2c2s,2018
-39.06289672,174.0420497,New Plymouth District,551400,NZ651799,2018----,957142,1c1b,1c1s,2018
-38.65878128,178.002932,Gisborne District,544300,NZ654815,2018----,959157,1c1p,1c1m,2018
-38.65878128,178.002932,Gisborne District,544300,NZ663094,2018----,967433,2c,0c,2018
-38.65878128,178.002932,Gisborne District,544300,NZ668764,2018----,973424,1c,0c,2018
-38.65878128,178.002932,Gisborne District,544400,NZ654815,2018----,959157,1c1p,1c1m,2018
-38.65878128,178.002932,Gisborne District,544400,NZ663094,2018----,967433,2c,0c,2018
-38.65878128,178.002932,Gisborne District,544400,NZ668764,2018----,973424,1c,0c,2018
-41.17790972,174.9473715,Hutt City,569500,NZ663885,2018----,969545,2c1i,0c,2018
-41.29269997,174.7739492,Wellington City,573101,NZ649323,2018----,953666,1c1p,1c1m,2018
-41.29269997,174.7739492,Wellington City,573101,NZ651954,2018----,957297,2c,1c1m,2018
-41.29269997,174.7739492,Wellington City,573101,NZ659823,2018----,963163,,0c,2018
-41.29269997,174.7739492,Wellington City,573101,NZ664147,2018----,969807,2c,0c,2018
-41.29269997,174.7739492,Wellington City,573101,NZ667750,2018----,972410,2c,0c,2018
-41.29269997,174.7739492,Wellington City,573101,NZ667966,2018----,972626,1c,0c,2018
-41.29269997,174.7739492,Wellington City,573101,NZ670204,2018----,973862,1c1f,0c,2018
-41.29269997,174.7739492,Wellington City,573101,NZ672793,2018----,977451,1c,0c,2018
-41.48652988,173.8171018,Marlborough District,580444,NZ655596,2018----,959936,1c,0c,2018
-40.35534385,175.616285,Palmerston North City,562800,NZ650675,2018----,953018,1c1p,2c2m,2018
-40.35534385,175.616285,Palmerston North City,562800,NZ663982,2018----,969642,2c,0c,2018
-40.35534385,175.616285,Palmerston North City,562800,NZ672882,2018----,977540,1c1f,0c,2018
-39.5583942,176.8336813,Hastings District,545831,NZ674429,2018----,967766,1c1i,0c,2018
-40.63038485,175.3064661,Horowhenua District,564012,NZ647743,2018----,952086,1c1s,1c1m,2018
-40.63038485,175.3064661,Horowhenua District,564231,NZ647743,2018----,952086,1c1s,1c1m,2018
-39.93375822,175.061679,Wanganui District,557900,NZ660056,2018----,963396,1c1i,0c,2018
-39.93375822,175.061679,Wanganui District,557900,NZ663554,2018----,969214,1c1i,0c,2018
-39.64677538,176.8429571,Hastings District,548200,NZ655483,2018----,959823,1c1i,0c,2018
-39.6522654,176.8168945,Hastings District,545761,NZ654536,2018----,958878,1c1i,4c4m,2018
-39.6522654,176.8168945,Hastings District,545761,NZ667469,2018----,972129,1c1i,0c,2018
-40.35322749,175.6146725,Palmerston North City,562800,NZ653776,2018----,958119,1s,1c1m,2018
-40.35322749,175.6146725,Palmerston North City,562800,NZ662110,2018----,966449,1c1f,0c,2018
-41.20353437,174.9048986,Hutt City,569301,NZ653093,2018----,956436,2c1f,1c1m,2018
-41.23162174,174.8393753,Wellington City,574001,NZ650121,2018----,954464,1c1i,1c1m,2018
-40.90971764,175.982,Masterton District,578402,NZ658869,2018----,962209,1T1i,0c,2018
-39.05345981,174.0818972,New Plymouth District,551800,NZ649728,2018----,954071,1c1mc,2c2m,2018
-39.05345981,174.0818972,New Plymouth District,551800,NZ658437,2018----,961777,2c,0c,2018
-39.05345981,174.0818972,New Plymouth District,551800,NZ666033,2018----,970693,1c,0c,2018
-40.35154638,175.6311967,Palmerston North City,562402,NZ655355,2018----,959695,2c,0c,2018
-40.35154638,175.6311967,Palmerston North City,562402,NZ669337,2018----,974995,2c,0c,2018
-40.35154638,175.6311967,Palmerston North City,562600,NZ655355,2018----,959695,2c,0c,2018
-40.35154638,175.6311967,Palmerston North City,562600,NZ669337,2018----,974995,2c,0c,2018
-39.05891257,174.0769067,New Plymouth District,551800,NZ665342,2018----,970002,3c1f,0c,2018
-39.09319339,174.105434,New Plymouth District,551021,NZ666946,2018----,971606,2c,0c,2018
-39.09319339,174.105434,New Plymouth District,551021,NZ669722,2018----,975380,2c,0c,2018
-41.31206912,174.7934687,Wellington City,576902,NZ662114,2018----,966453,2c,0c,2018
-41.31206912,174.7934687,Wellington City,576903,NZ662114,2018----,966453,2c,0c,2018
-39.0560251,174.083173,New Plymouth District,551800,NZ653446,2018----,957789,1c,1c1m,2018
-39.0560251,174.083173,New Plymouth District,551800,NZ659205,2018----,962545,1c1T,0c,2018
-39.0560251,174.083173,New Plymouth District,551800,NZ660479,2018----,964819,1c1T,0c,2018
-39.0560251,174.083173,New Plymouth District,551800,NZ661916,2018----,966255,1c,0c,2018
-39.0560251,174.083173,New Plymouth District,551800,NZ665122,2018----,968782,2c,0c,2018
-39.0560251,174.083173,New Plymouth District,551800,NZ665968,2018----,970628,2c,0c,2018
-39.0560251,174.083173,New Plymouth District,551800,NZ666027,2018----,970687,2c,0c,2018
-39.92859749,175.0330423,Wanganui District,556700,NZ651740,2018----,957083,2c,3c3m,2018
-39.93168621,175.0382476,Wanganui District,556700,NZ658174,2018----,961514,1c,0c,2018
-39.92417144,175.0372992,Wanganui District,556800,NZ648619,2018----,954962,1mc1i,1c1s,2018
-39.92417144,175.0372992,Wanganui District,556800,NZ656518,2018----,963858,1c1f,0c,2018
-41.3198619,174.7939453,Wellington City,576902,NZ648169,2018----,954512,1c1p,1c1m,2018
-41.3198619,174.7939453,Wellington City,576901,NZ648169,2018----,954512,1c1p,1c1m,2018
-41.22355271,174.9144151,Hutt City,568701,NZ670815,2018----,974473,2c,0c,2018
-41.22355271,174.9144151,Hutt City,568701,NZ671223,2018----,975881,2i,0c,2018
-41.22355271,174.9144151,Hutt City,568701,NZ671785,2018----,976443,1f1B,0c,2018
-41.13044659,175.0447608,Upper Hutt City,567500,NZ672242,2018----,976900,1c,0c,2018
-41.30726645,174.7779157,Wellington City,576500,NZ668767,2018----,973427,1x1p,0c,2018
-41.29627903,174.7795759,Wellington City,573100,NZ648013,2018----,952356,3c,1c1s,2018
-41.29627903,174.7795759,Wellington City,573100,NZ649584,2018----,953927,2s,1c1m,2018
-41.29627903,174.7795759,Wellington City,573100,NZ672700,2018----,977358,1c,0c,2018
-41.29627903,174.7795759,Wellington City,573101,NZ648013,2018----,952356,3c,1c1s,2018
-41.29627903,174.7795759,Wellington City,573101,NZ649584,2018----,953927,2s,1c1m,2018
-41.29627903,174.7795759,Wellington City,573101,NZ672700,2018----,977358,1c,0c,2018
-41.28644047,174.7762515,Wellington City,573000,NZ660023,2018----,963363,1c1s,0c,2018
-41.28644047,174.7762515,Wellington City,573000,NZ668156,2018----,972816,1c,0c,2018
-39.94700922,175.1460931,Wanganui District,558300,NZ656126,2018----,960466,1f1mc,0c,2018
-41.32492189,173.2160307,Nelson City,581723,NZ655959,2018----,960299,1c1i,0c,2018
-38.58140262,177.9402342,Gisborne District,544001,NZ665147,2018----,968807,1c1f,0c,2018
-40.36502562,175.6179432,Palmerston North City,563000,NZ652506,2018----,955849,1b,1c1s,2018
-40.36502562,175.6179432,Palmerston North City,563000,NZ665804,2018----,970464,1c1f,0c,2018
-41.28323742,173.2774762,Nelson City,582800,NZ666820,2018----,971480,3c,0c,2018
-41.29499857,174.7831599,Wellington City,573100,NZ662130,2018----,966469,2c,0c,2018
-41.29499857,174.7831599,Wellington City,573101,NZ662130,2018----,966469,2c,0c,2018
-41.28968122,174.7787039,Wellington City,573100,NZ654273,2018----,958615,1i1o,1c1s,2018
-41.28968122,174.7787039,Wellington City,573101,NZ654273,2018----,958615,1i1o,1c1s,2018
-39.02128074,174.1946452,New Plymouth District,551013,NZ647391,2018----,951734,1c,6c2s4m,2018
-39.59676938,176.7655392,Hastings District,545710,NZ648158,2018----,954501,1c2b,2c2m,2018
-39.59676938,176.7655392,Hastings District,545710,NZ664566,2018----,968226,1c,0c,2018
-39.59676938,176.7655392,Hastings District,545710,NZ671577,2018----,976235,1c1f1i,0c,2018
-40.32930178,175.5595833,Palmerston North City,561811,NZ663619,2018----,969279,1c,0c,2018
-40.32930178,175.5595833,Palmerston North City,561901,NZ663619,2018----,969279,1c,0c,2018
-40.32930178,175.5595833,Manawatu District,561901,NZ663619,2018----,969279,1c,0c,2018
-41.03313998,174.889152,Porirua City,571800,NZ660533,2018----,964873,1c1i,0c,2018
-41.1048021,175.0983853,Upper Hutt City,566620,NZ673797,2018----,978455,2T1i,0c,2018
-41.1048021,175.0983853,Upper Hutt City,566700,NZ673797,2018----,978455,2T1i,0c,2018
